,count,hate_speech,offensive_language,neither,class,tweet
967,3,0,3,0,1,&#128073; RT @Pr3ttyN33: Don't like me ??? Have a &#128186;with the rest of the bitches waiting for me to give a fuck &#128540;&#128129;
4847,3,0,3,0,1,@SinexDerek those guys are pussies &#128527;&#128079;
4581,4,0,4,0,1,@PzFeed This guy would SO get a show on Spike if they could somehow revive the son of a bitch. I'd watch.
12372,3,1,0,2,2,Jihadis are running a claim that the King of #Saudi Arabia died two days ago. Must be the bombs falling on em that r making em hallucinate.
18023,3,0,1,2,2,RT @ThatsFoodPorn: Oreo Donut http://t.co/obytemi3Ed
548,3,0,1,2,2,"""""""Only a couple of Red Sox have gotten past first base."""" I'm dying laughing. Maybe the Yanks need to teach them some game."""
17238,6,1,5,0,1,RT @PRIVALEDGE: Undercover hoes
13963,3,0,3,0,1,"""Once again...HELLO HARDIN COUNTY"
5627,3,0,3,0,1,@afuehring is little bitch an emotion? Cuz I'm feeling it..
5714,4,0,1,3,2,@aurabogado el negro?
3762,3,1,2,0,1,@JimNastikowski @3Quarters2Day ? Are you a race traitor or just a dumbass?
10798,3,1,2,0,1,I hate when those little white kids try and act black. Like bitch YOU ARE WHITE
21587,3,0,3,0,1,Spongebob ass niccas fr
24566,3,0,3,0,1,ik I look good and all but dam bitches stop making it obv your staring at me loll
7839,3,0,3,0,1,All the time lol RT @KoolAssK: Lol ima hoe sometimes
14120,3,0,3,0,1,People are such bitches!!! Complaining over stupid things!
22109,6,1,5,0,1,Them gay dudes stay with the baddest bitches.....no punch line
2687,3,2,1,0,0,@Blackman38Tide lmfao go to bed whitey &#128129;
1457,3,0,3,0,1,&#8220;@MrDelightfullll: I've sounded like a fag the last few days &#128584;&#128513;&#128513;&#8221; your emotions are inspiring &#128150;
14242,3,0,3,0,1,Pretend assholes callin the women bitches when they know they love em lol..
18067,3,0,0,3,2,RT @TheFoodBibIe: Deep Fried Oreos http://t.co/quDw3wqD7r
3260,3,1,2,0,1,@FlawlesS_Dv @TehDucKii pussy ass bitch
10357,3,0,3,0,1,I bitch a lot but it's coo
11006,3,0,0,3,2,I love the acoustic domes in the hallways. Favorite place to sing in public. No lie. http://t.co/G6Az9ryUbQ
25142,3,0,3,0,1,u-bitch-u
9994,3,0,3,0,1,He got hoes for sell! Shop with him! #lmfao #TrekGang http://t.co/iuCM6OEVy3
10770,3,0,3,0,1,I hate when bitches get lame &#128078;
7157,3,2,1,0,0,"""@samzbikowski Cody is ALWAYS calling people """"nigger"""". He's a fucking spaz!"""
41,3,0,3,0,1,""""""" most hated but the hoes favorite """" #2MW #SevenOne # http://t.co/BMdSVMc3rC"""
5512,3,0,3,0,1,@_That_Vibe_ bitch I'm Gretchen Weiners I do what I want
7264,6,1,5,0,1,@sorryimalex wake up you little bitch and follow me
6810,3,0,3,0,1,@makenzies_mask ur a boss ass bitch
3115,3,1,2,0,1,@DividendMaster obama is a bitch his speech was pure politics for mid terms. Only way we destroy ISIS is with troops on the ground.
16865,3,0,3,0,1,RT @MitchVorce: Bastino is my niggah&#128661;
18064,3,0,3,0,1,RT @TheFakeESPN: Rutgers terminated Mike Rice's contract by repeatedly calling it a cunt while hurling balls at it until it finally kill ...
8055,3,0,3,0,1,Ask your bitch about me she turns into dori. &#128032;
2547,3,1,2,0,1,@AtBlackface @MrMooncricket @UncleUnco @BobbyBotsods @FuckTheMallcops @RacistNegro69 fuck u bitch
1427,3,0,3,0,1,&#8220;@MaRAtheeMODEL: @Iam_KiDD_PhilA &#128514; Marcus bitch ass @HeartOfAHustlah ain't loyal at all! Team hopping ass !!!&#8221; &#128514;&#128557;&#128514;&#128557;&#128514;&#128056;&#9749;&#65039;
10952,3,0,3,0,1,I like my bitches bad wit a Lil attitude
11254,3,0,3,0,1,I think these bitches tryna set me uuuuhhuuhhhhhp
22531,3,1,2,0,1,This is EXACTLY why I don't tell this bitch SHIT !
5575,3,2,1,0,0,@_n1k_nak Status Report: Making a pit stop in Canada to rape bitches
20227,3,0,3,0,1,RT @officialmckell: &amp; ima eat that pussy all filthy &#128525;
8739,3,0,3,0,1,Come for the brothas and other MOC about culture differences like... bitch plz
1691,3,0,1,2,2,&#8220;@__Bino: Looking at nip rings I can't wait until I can change mine &#128527;&#8221; &#128221;&#128064;&#128209; lmao
10292,3,0,1,2,2,I am extremely sad to have to admit that some of the best 21st century Arabic rhymes have been written by Jihadis
10245,3,1,2,0,1,I adopted these bitches
22177,3,0,3,0,1,These bitches always trippin
18875,3,1,2,0,1,RT @_jeff_hank: @lgreiner3 @Versharky @RayceWarden @BigJohn_Studd fuck no id be gettin swole in there like everyday nigger
6697,3,3,0,0,0,@kitten_nugget69 stfu dyke looking hoe.
7800,3,0,3,0,1,All deses bitches turnt up I'm fenna turn em down
22481,6,0,6,0,1,This bitch tryna eat peanuts I'm tryna eat steak an shit bitch don't know nothing about grindin
10935,3,0,3,0,1,I like a cool bad bitch. She know she sexy but her attitude is like ehh whatever &#128533;&#128530;
20703,3,0,1,2,2,RT @tylerschuster88: How much coke did Charlie sheen do?.. Enough to kill two and a half men I guess
20178,3,1,2,0,1,RT @nerdkiller669: @ShinSnipes did u steal those glasses haha stupid nigger
6604,3,0,3,0,1,@kieffer_jason No am real but you a pussy ass nigga so why would I give a fuck what u think lmao just stfu
35,3,0,3,0,1,""""""" is that ya bitch """""""
14302,3,0,3,0,1,Quit blowing up my feed bitches.
24541,3,0,1,2,2,if i were to die and be resurrected as an animal id be a howler monkey
17559,3,0,2,1,1,RT @SLlMSHADY: Can someone show hailie this tweet? &#128514;&#128514; bitch blocked me &#128548;&#128514;&#128514;&#128514; https://t.co/VlpR7tMcAs
5153,3,0,3,0,1,@Titan21Mtzzz vegeta is a little bitch #TeamGoku
5671,3,2,1,0,0,@amarierubio chink eyed !
14857,3,1,2,0,1,RT @Broski5519: Sum of u bitches too old for braces....
931,6,0,1,5,2,#stateoftheunion would last 15mins if they let the President talk all that standing up clapping is for the birds
20555,3,0,0,3,2,RT @tbhjuststop: my score on flappy bird is higher than the broncos score right now
3718,3,0,3,0,1,@JawShoeeAhhh @jehnayy no bitch lol
14498,4,0,4,0,1,RT @AlmightyVinny_: I can tell you a freak bitch don't lie to me
12966,3,0,3,0,1,Lookin at my bitch i bet she give yo ass a bone
20581,3,1,2,0,1,RT @the_ironsheik: Justin Bieber win Oscar for suck my balls you dead dog midget dick son of a bitch
5157,3,0,0,3,2,@Titan4Ever2488 some Mets fan tried telling me Rivera isn't of the best Yankees of all time because he is just a closer. WTF
16140,3,0,3,0,1,RT @Jay_Tee92: &#8220;@armani_bliss: this ghetto jeopardy shit wack. &#128533;&#8221;
10994,3,0,3,0,1,I love how bitches be talkin how the single life is the best life then bitchin and complaining how they need a boyfriend #WTF
10299,3,0,3,0,1,I am such a daddy's girl it's crazy I will drop a bitch in a second over my dad bro.
16945,3,0,3,0,1,RT @MyDickNeedsCPR: What lonely hoe made this? http://t.co/eEFThf0tvb
8981,3,0,3,0,1,Dirty hoe
16764,3,0,0,3,2,RT @MaryWCVB: Still waiting for Charlie Baker to take the stage in Swampscott. #wcvb http://t.co/lYb3Thm199
6373,3,1,2,0,1,@ivanrabago_ at least put a caption when stealing the pic fag lol
21301,3,0,3,0,1,Simply cani deal with a confrontation so I just back away when cunts get aw nasty towards me.. Changed a lot in the past few years tbh
2510,3,3,0,0,0,"""@AnthonyCumia"
23463,3,0,3,0,1,Work right now is bitch
24673,6,0,6,0,1,lmfao what? RT @cindielu: If your back is dry when you get out the shower you're a hoe!
4639,3,0,2,1,1,@RealWallieWall Sheet i can't do that too a cripple
11479,3,0,0,3,2,I'm Pregnant Charlie Brown! #WorstPeanutsSpecialEver
20557,3,1,2,0,1,RT @tcaputo44: Trust no bitch #wordsofadvice
16132,3,0,3,0,1,RT @JayAllDay612: Girls will ignore your text messages then get bothered when you give other bitches attention.
21712,3,0,3,0,1,Switch A Roo yo hoe let me hit her
9314,3,0,3,0,1,Fat bitches got the most pictures
12404,3,0,1,2,2,Jose Soto: Reflections of a former gay teabagger http://t.co/XtMMuzyK
7946,6,1,5,0,1,And don't come to my mf house honking ur damn horn. Get tf out the car &amp; ring my bell bitch.
13240,3,0,3,0,1,Mr.nvr get no pussy u a virginnnn
4184,3,0,0,3,2,@McLaffyTaffy Reason #2 I didn't order a shirt: Taffy will know where I live and he would probably find me and stab me.
5194,3,0,3,0,1,@TristenGQAss the way he raps about fucking my bitch &amp; banters about having more money than me is so entertaining it's crazy @KingL
25193,3,0,3,0,1,where da ratchet hoes at?
7417,3,0,3,0,1,@tsallabT it was the address to her Job... So the jokes on you bitch! Ha!
6122,3,1,2,0,1,@eze12373 I'll come rape your wife bitch boy
2339,3,0,1,2,2,@05235fd083ad408 hick yes
2771,3,0,3,0,1,@Buckm00se post the bid where you tell that nig to use the jab
12398,3,0,3,0,1,Join my crew bitches
22707,3,0,3,0,1,Too many bad bitches last night
15857,3,0,3,0,1,"""RT @HipHopIsDeaddd: Top ten rappers With no hoes"
5058,3,2,1,0,0,@TheChicagoBaker @stopbeingfamous @RaniaKhalek do birds have a 72% out of wedlock rate? is it white fathers that are running away?
15593,3,0,3,0,1,RT @FreeMolly_: @VoiceOfDStreetz my bad bro dem hoes heat tho &#128293;&#128293;&#128293;
818,3,0,3,0,1,#WhatWouldYouChangeAboutYourPast the hoes I wasted time with
14794,3,0,2,1,1,RT @BossyDiva__: Come get yo hoe
17745,3,0,0,3,2,"""RT @Smug_Lemur: He loves me *eats a brownie*"
8932,3,1,0,2,2,Define wigga
16349,3,0,3,0,1,RT @KenaiViveros: Ima bitch him out lol @Versharky
20512,3,0,3,0,1,RT @stephanielazox: Hope you got what you wanted bitch.
10217,3,0,3,0,1,How you rap but can't getcho bitch to RT ya music? Put the Mic down bro.
10434,6,0,6,0,1,I coulda sworn I was the last bitch on tunchi ig &#128129;&#9996;&#65039;&#128536;
6446,3,0,3,0,1,@jkatz_ @kaylee_binion14 bitch. &#128534;
23384,3,1,2,0,1,Why these hoes always tryna be Bitches? Don't they know that hoes can't be bitches.. cause they hoes! @yuckhalin
17,3,1,2,0,1,""""""" bitch who do you love """""""
25156,3,1,2,0,1,watch out for these foul hoes and flagrant niggas!
21753,3,0,3,0,1,Taylor Swift looks like the kinda bitch you would bring home and only get a dry handjob from
6107,3,0,0,3,2,@erinscafe Bu I do. I do hate the playa. And the Yankees. If I hate the Yankees for their payroll I have to hate the Dodgers.
7444,3,0,1,2,2,@urbasicyabish nigor??
12213,3,0,3,0,1,It was my sophomore year that I learned these hoes weren't loyal
14691,3,0,0,3,2,RT @BenTateRB: This is crazy no RB picked yet. A RB won ROY! 2yrs ago RB was MVP. Ppl 4get how important our position is. This is insane ho&#8230;
17812,3,0,3,0,1,"""RT @Steamed_Greens: """"@JuanNdaCut: This bitch wanna be Roger from American Dad so bad http://t.co/KXhA1ZtYMs"""""""
7944,3,1,2,0,1,And dis nicca still rapping
4819,3,1,2,0,1,@ShakiyaTeniece @celebrity_ke she said she aint tricking off on them hoes...lls...foolish
3354,3,1,2,0,1,@Gjulio34 we don't love this hoes
25111,3,1,2,0,1,too bad ur a pussy
812,3,2,1,0,0,#Virginia is full of white trash.
13635,3,1,2,0,1,Niggas a buy a 700$ outfit to impress a 10$ bitch
10198,3,0,0,3,2,How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.
2870,3,1,2,0,1,@CeeNCrumpets self low down black bitch?
1662,6,0,6,0,1,&#8220;@_BeautifulKeezy: &#8220;@100046729: This bitch lying to me &#128514;&#128530;&#8221;&#128064;&#128064;&#128064;&#8221;messy yess
17508,3,1,2,0,1,RT @RobIsRandomAF_6: &#128514;&#128514;&#128514;&#128514;&#128514;This bitch came to the club with a broken neck? Bitch you serious? https://t.co/D4bpFhPj6x
24641,3,0,3,0,1,late upload bitches
2384,3,0,3,0,1,@4C_Ryan fag rhymes with gag.
13082,3,1,2,0,1,Marca got so many hoes she confused on what to do
19909,3,0,3,0,1,RT @kxllcity_: why do females think its cute too be rude af all the time and mean for no reason that shit aint cute bitch
24335,3,0,3,0,1,fuck u bitch &#8212; fuck u bitch http://t.co/oZPs1ZHObc
20647,3,1,0,2,2,RT @toddknife: Full @weakenednachos set (except the last song) from Southern Darkness Fest last month. Who's the ape on guitar? https://t.c&#8230;
7305,3,0,1,2,2,@sweetlou462 Lol. Have fun! &#128516; I haven't been to a race since HS (Charlotte). Crazy redneck times. Lol.
13358,3,1,0,2,2,My flow retarded &#128526;
20710,3,1,2,0,1,"""RT @uncle_palacios: &#8220;@SheeeRatchet: """"bitch ass nigga square up"""" &#128514;&#128514; http://t.co/UHkKKwsrDL&#8221; @CaelanG15"""
11290,3,0,3,0,1,I wake up every morning wishing a bitch would.
1777,3,0,3,0,1,"""&#8220;@dappermuke: i'll be a bitch when i have to be a bitch :)"
18171,3,1,2,0,1,RT @ThottyGlo: How quick your bitch will text another nigga whens shes mad at you http://t.co/uRSI7AjUMP
20268,3,0,3,0,1,RT @paullowry42: @gingerash2013 lol and your response was bitch do I like pregnant?
252,3,0,3,0,1,"""""""@TayKnosBest: These hoes is crazy"""""""
14802,3,0,3,0,1,RT @Braceface_Tay: Tell them bitches I'll always be your Mrs.&#128141;
23078,3,0,1,2,2,What if I talked ghetto lol I'd be so annoyed of my self
1743,3,2,1,0,0,&#8220;@boojieque: &#128514;&#128169;RT @WebbMadeThis: Lemme find out you niggaz letting bitches shit on yo faces&#8221; &#128557; niggas is weirdos
20895,3,0,3,0,1,RT if one of your followers sell pussy but hop on Twitter like they got all the morals and class
11045,3,2,0,1,0,I missing something of my ofay friends. Day all scared by da recent happenings. Don't chu worry...ol Lamar say you like da colored folk
16831,3,0,3,0,1,"""RT @MikeDiggEm: """"@_2kkz: She threw me that pussy bt i neva caught it"""" gay"""
15829,3,0,3,0,1,RT @HelloKittyMNW: I could be such a bitch right now. But I'll restrain myself.&#128129;
2185,3,1,2,0,1,*Does backflip* THISSSSSSSS!!! RT @Krislisisms: You niggas switch up your opinions like faggots
25220,3,0,3,0,1,will u sell dat pussy for me?
20730,3,0,0,3,2,RT @vexedmentals: draya really out catching a tan while her son looking out the window like the ikea monkey while everybody trick or treati&#8230;
10193,3,0,0,3,2,How is Angry Birds the movie going to work? They're just floating bird heads?
12603,3,1,0,2,2,LOL there's a talking monkey live on the internet! Will wonders never cease?
24100,3,0,1,2,2,beanies cumming real soon http://t.co/GlLjaQb6ty
16676,3,1,2,0,1,RT @LucyyLuux: &amp; when a nigga don't care if you leave it's cause he gotta another bitch he was tired of creeping w/ anyway !
12626,3,0,3,0,1,Last time I wore the shirt I'm wearing today I fought a bitch. ( on no ratchet bs) but she yanked the fuck outta this shirt.
20202,3,0,2,1,1,RT @nofuks007: Shout out to all the bitches who don't have to dress half naked to get a mans &#128694;attention. Stay classy!
11299,3,0,3,0,1,I wanna get this hoe on my arm with a diamond coming out of the cloud..&#9729;&#65039;&#128142; #RIPRICK http://t.co/Kdy74OHUtw
5920,3,0,3,0,1,@collegefession you are a bitch!!!!
22210,4,0,1,3,2,These brownies are bomb!!!!!!!!! http://t.co/lKZLQQj7W1
22749,3,0,3,0,1,Truuuuuuuuuuu facts both then niggaz is pussy nd I'll tag em both @meekmill nd cassidy r/p by my nigga let http://t.co/NhYODSpP
24936,3,2,1,0,0,slow replies make me feel like a retard and I just want to put my foot through a wall... hjhdyhdhlgjdftilh
3710,3,0,3,0,1,@JavelinaBlue @mdjacksondallas @KennettDems yep. Texas is redneck heaven.
24459,3,0,2,1,1,http://t.co/bPU86qzYFt Lola Foxx &#8211; Nubile co-ed shows off her pink pussy while she fondles&#160;herself http://t.co/9QJPbdyzTY
13648,3,0,3,0,1,"""Niggas be like when they see they side bitch cashin another nigga """"@MikeDiggEm: Hello mutha fucka......."""""""
2305,3,0,3,0,1,4th and long bitches
14894,3,0,3,0,1,RT @ButtholeTeeth: Your pussy looks like it died six months ago.
13317,3,0,3,0,1,My boy @RyanBowersOB got the hoes now!
23546,3,0,3,0,1,Ya bitch wnna ride with me
3254,3,0,2,1,1,@FightsOnVine bitch dont even think about playin wit me!
4326,6,0,1,5,2,@MurdaaaMike @yfly23 wow I can put slit trophies against u in those
6590,3,1,2,0,1,@kieffer_jason @hunterbuch66 @sbsylvester u fucking trailer trash
460,3,0,3,0,1,"""""""HOW DO YOU KNOW MY TWITTER PASSWORD"""" bitch please"""
3387,3,0,2,1,1,@Grayse_Kelly Some women get in a relationship quick so they won't feel like a hoe for having sex.
16121,3,0,3,0,1,RT @JaredPhillis: All you do is fucking bitch.
10570,3,0,3,0,1,I feel so alone. I miss my #wife so much. I hate the white trash who raped and killed her and our daughters.
10109,3,0,1,2,2,Hmu talmbout match but when I pull up its 30 other niccas wit ya &#128530;
1323,3,0,2,1,1,&#8220;@HerTruMetier: &#8220;@what_evaittakes: Bout to get a breasts reduction these bitches be in the way&#128530;&#8221;&#128514;&#128514;&#128514;&#8221;so serious&#128553;&#128553;&#128553;
8724,3,0,0,3,2,Cleveland is the best team for manziel honestly the OC can use the offense he had with the redskins &amp; the browns D is nice wit a def HC
9227,3,0,3,0,1,"""Every good story starts off with """"So this bitch..."""" lol"""
1084,3,0,3,0,1,"""&#128588;&#128588;&#128588;""""@Datruthh_: Don't do em with my girl lol RT @thelaurenway: So when yall in threesomes does your girl eat the pussy too?"""""""
23658,3,0,3,0,1,Yo bitch a freak fucked ha to sleep and dat was the last time I was slept on. . .Shit I woke ha up nd fucked ha again so she aint sleep long
6647,3,0,3,0,1,@kieffer_jason nigga I was there at 5:42 I went to go get my homeboy and I texted u at 5:50 naw u a bitch
6707,3,0,2,1,1,@kmagalyv some scandalous hoes then!!! Lmao
7547,3,0,3,0,1,@xblackoutbarbie bitch don't retweet my question. Psh!! Nasty ass ho.
6238,3,0,3,0,1,@harley_schuder @ShitPussiesSay and you're a hoe
7950,3,0,3,0,1,And girl I've been thinkin of ways thinkin of new ways to beat that pussy down .
16175,3,1,2,0,1,RT @JewlzSantana: making every bitch feel important...
21448,3,0,3,0,1,So you females feel like it's ok to dress like a hoe? Smh I just hope I don't have a daughter please god http://t.co/2uaWusHHYE
24982,3,0,3,0,1,stupid cunts
19641,3,0,3,0,1,RT @iamKatJohnson: RT @1inkkofrosess: It's bout that time were I feel like beening a hard working woman .....and a stripper hoe by night do&#8230;
6203,3,0,3,0,1,@gmalko1 lmaooo fag
23452,3,0,0,3,2,Woot! RT @Yankees: #Yankees completed their sixth series sweep of the season and fourth at home.
17729,3,0,3,0,1,RT @SkylarLogsdon: @viva_based bruh you fucked the shit out of my taste buds with that bitch.
19669,3,0,3,0,1,RT @illi708: the easy way out RT @BiggieBOSSMane While you females calling them hoes asking if they want ketchup with they fries. http://t&#8230;
5927,3,0,2,1,1,@corey_emanuel bet.... Pay back is a bitch
17754,9,1,7,1,1,RT @SoCoSoPretty: And niggas don't be knowing the difference or want to believe that the bitch actually ugly
9938,3,0,1,2,2,Harlem World trash? Interesting.
9228,3,3,0,0,0,Every gook in #LosAngeles should be deported or killed.
16327,3,0,3,0,1,RT @KatelynBarnes3: Working out with the hoes @savanaharanda @AnnaComan2
2583,3,0,0,3,2,@BNightengale @FeinsandNYDN Time for Ranger scouts to head out and watch some Yankee prospects. #rangers
24334,6,0,6,0,1,fuck twitter i aint getting on this bitch no more &#9996;&#65039;&#128545;&#128299;
24685,3,0,3,0,1,lol if you hate me i really dont give a shit because i've either done nothing to you bc you're just a bitch
1794,3,0,3,0,1,&#8220;@ericwooden21 I need ran theo and theo HOMIE rocking the cool&#8221; I need some free shit or some hoes
23332,3,0,3,0,1,Why bitches act like I CAN'T READ or like words don't have a meaning.
1718,3,0,3,0,1,&#8220;@_mahoganylov3 Right RT @KingDominicus: Idk which one was selling pussy for $65 but that&#8217;s way too high for them http://t.co/jSDmSuCDm0&#8221;hm
328,3,0,1,2,2,"""""""@deepthroatMike: """"@Boys_South: Take me for a ride &#128525;&#128139; http://t.co/H5mAtjYfGA""""#redneck"""" woof woof"""
3981,6,0,6,0,1,@L0SERNIGGA @HotNiggaDarius all bitches all day all the time
